Semana,Longitud cola,Cola,Arribos,Autos,Atenciones,Atendidos,Despachos,Despachados
1.0,0.0,[],9.0,"['B92C', 'D71R', 'J1M', 'Y12L', 'C95W', 'D68F', 'B97J', 'I51B', 'C71P']",4.0,"['B92C', 'D71R', 'J1M', 'Y12L']",0.0,[]
2.0,5.0,"['C95W', 'D68F', 'B97J', 'I51B', 'C71P']",7.0,"['Y91H', 'J46P', 'Y1Y', 'X16M', 'O36Z', 'Q66N', 'T26O']",6.0,"['C95W', 'D68F', 'B97J', 'I51B', 'C71P', 'Y91H']",0.0,[]
3.0,6.0,"['J46P', 'Y1Y', 'X16M', 'O36Z', 'Q66N', 'T26O']",9.0,"['L65L', 'X67V', 'F97I', 'R67W', 'I92O', 'Z83T', 'F73U', 'F50O', 'H63S']",4.0,"['J46P', 'Y1Y', 'X16M', 'O36Z']",2.0,"['Q66N', 'T26O']"
4.0,9.0,"['L65L', 'X67V', 'F97I', 'R67W', 'I92O', 'Z83T', 'F73U', 'F50O', 'H63S']",9.0,"['S100R', 'B60V', 'Y6E', 'R96J', 'O92F', 'V100H', 'U18B', 'D38R', 'K88X']",6.0,"['L65L', 'X67V', 'F97I', 'R67W', 'I92O', 'Z83T']",3.0,"['F73U', 'F50O', 'H63S']"
5.0,9.0,"['S100R', 'B60V', 'Y6E', 'R96J', 'O92F', 'V100H', 'U18B', 'D38R', 'K88X']",7.0,"['L49O', 'A26P', 'O16E', 'W87C', 'P99Q', 'X34Z', 'J42C']",5.0,"['S100R', 'B60V', 'Y6E', 'R96J', 'O92F']",4.0,"['V100H', 'U18B', 'D38R', 'K88X']"
6.0,7.0,"['L49O', 'A26P', 'O16E', 'W87C', 'P99Q', 'X34Z', 'J42C']",8.0,"['G34R', 'R21E', 'E90Z', 'O88M', 'X67G', 'U88O', 'B59V', 'R3U']",3.0,"['L49O', 'A26P', 'O16E']",4.0,"['W87C', 'P99Q', 'X34Z', 'J42C']"
7.0,8.0,"['G34R', 'R21E', 'E90Z', 'O88M', 'X67G', 'U88O', 'B59V', 'R3U']",7.0,"['D86J', 'F10P', 'K35W', 'C4S', 'B96O', 'V94K', 'T42X']",6.0,"['G34R', 'R21E', 'E90Z', 'O88M', 'X67G', 'U88O']",2.0,"['B59V', 'R3U']"
8.0,7.0,"['D86J', 'F10P', 'K35W', 'C4S', 'B96O', 'V94K', 'T42X']",8.0,"['T26C', 'H97G', 'Q59B', 'E22O', 'T82P', 'H55Y', 'W76X', 'B55D']",3.0,"['D86J', 'F10P', 'K35W']",4.0,"['C4S', 'B96O', 'V94K', 'T42X']"
9.0,8.0,"['T26C', 'H97G', 'Q59B', 'E22O', 'T82P', 'H55Y', 'W76X', 'B55D']",6.0,"['H18D', 'D22A', 'K5L', 'A81Y', 'U66V', 'V45O']",5.0,"['T26C', 'H97G', 'Q59B', 'E22O', 'T82P']",3.0,"['H55Y', 'W76X', 'B55D']"
10.0,6.0,"['H18D', 'D22A', 'K5L', 'A81Y', 'U66V', 'V45O']",7.0,"['Y71K', 'T76S', 'T40F', 'W16Y', 'W52A', 'C57E', 'U53A']",5.0,"['H18D', 'D22A', 'K5L', 'A81Y', 'U66V']",1.0,['V45O']
11.0,7.0,"['Y71K', 'T76S', 'T40F', 'W16Y', 'W52A', 'C57E', 'U53A']",7.0,"['X23A', 'A81R', 'K63Q', 'I98G', 'D34R', 'O5R', 'R45N']",6.0,"['Y71K', 'T76S', 'T40F', 'W16Y', 'W52A', 'C57E']",1.0,['U53A']
12.0,7.0,"['X23A', 'A81R', 'K63Q', 'I98G', 'D34R', 'O5R', 'R45N']",7.0,"['T40D', 'Z66G', 'V61K', 'V29T', 'O28X', 'M37G', 'Q74H']",6.0,"['X23A', 'A81R', 'K63Q', 'I98G', 'D34R', 'O5R']",1.0,['R45N']
13.0,7.0,"['T40D', 'Z66G', 'V61K', 'V29T', 'O28X', 'M37G', 'Q74H']",6.0,"['C100W', 'K31A', 'F24X', 'U63D', 'S1Z', 'O44V']",3.0,"['T40D', 'Z66G', 'V61K']",4.0,"['V29T', 'O28X', 'M37G', 'Q74H']"
14.0,6.0,"['C100W', 'K31A', 'F24X', 'U63D', 'S1Z', 'O44V']",8.0,"['F30C', 'T8R', 'C32A', 'X79F', 'I20K', 'M83D', 'R65W', 'K18L']",5.0,"['C100W', 'K31A', 'F24X', 'U63D', 'S1Z']",1.0,['O44V']
15.0,8.0,"['F30C', 'T8R', 'C32A', 'X79F', 'I20K', 'M83D', 'R65W', 'K18L']",6.0,"['T8Q', 'U2Q', 'P66F', 'Y48I', 'T79U', 'P76L']",6.0,"['F30C', 'T8R', 'C32A', 'X79F', 'I20K', 'M83D']",2.0,"['R65W', 'K18L']"
16.0,6.0,"['T8Q', 'U2Q', 'P66F', 'Y48I', 'T79U', 'P76L']",9.0,"['B33G', 'Q45N', 'O39O', 'C15X', 'V90B', 'K93E', 'Q71I', 'D16K', 'G57S']",5.0,"['T8Q', 'U2Q', 'P66F', 'Y48I', 'T79U']",1.0,['P76L']
